id,pos,round_id,best,average,name,country_iso2,competition_id,event_id,round_type_id,format_id,wca_id,attempts,best_index,worst_index,regional_single_record,regional_average_record,competition_name,start_date,single_seconds,average_seconds
5768269,2,838487,527,562,Bofan Zhang (张博藩),CN,HangzhouSpring2024,333,1,a,2021ZHAN01,"[579, 527, 539, 581, 567]",1,3,,,Hangzhou Spring 2024,2024-03-02,5.27,5.62
5768420,4,838488,503,578,Bofan Zhang (张博藩),CN,HangzhouSpring2024,333,2,a,2021ZHAN01,"[692, 548, 623, 503, 564]",3,0,,,Hangzhou Spring 2024,2024-03-02,5.03,5.78
5768499,3,838489,518,556,Bofan Zhang (张博藩),CN,HangzhouSpring2024,333,f,a,2021ZHAN01,"[535, 573, 518, 607, 559]",2,3,,,Hangzhou Spring 2024,2024-03-02,5.18,5.56
5768509,3,838490,139,148,Bofan Zhang (张博藩),CN,HangzhouSpring2024,222,d,a,2021ZHAN01,"[198, 139, 139, 140, 165]",1,0,,,Hangzhou Spring 2024,2024-03-02,1.39,1.48
5768601,3,838491,138,185,Bofan Zhang (张博藩),CN,HangzhouSpring2024,222,f,a,2021ZHAN01,"[-1, 138, 227, 139, 189]",1,0,,,Hangzhou Spring 2024,2024-03-02,1.38,1.85
5768620,6,838492,2977,3482,Bofan Zhang (张博藩),CN,HangzhouSpring2024,444,d,a,2021ZHAN01,"[4235, 3669, 3698, 2977, 3080]",3,0,,,Hangzhou Spring 2024,2024-03-02,29.77,34.82
5768697,6,838493,3328,3489,Bofan Zhang (张博藩),CN,HangzhouSpring2024,444,f,a,2021ZHAN01,"[3360, 3360, 3747, 3328, 3940]",3,4,,,Hangzhou Spring 2024,2024-03-02,33.28,34.89
5768820,6,838497,214,299,Bofan Zhang (张博藩),CN,HangzhouSpring2024,pyram,d,a,2021ZHAN01,"[292, 274, 333, 332, 214]",4,2,,,Hangzhou Spring 2024,2024-03-02,2.14,2.99
5768891,5,838498,250,315,Bofan Zhang (张博藩),CN,HangzhouSpring2024,pyram,f,a,2021ZHAN01,"[359, 264, 457, 250, 322]",3,2,,,Hangzhou Spring 2024,2024-03-02,2.5,3.15
5861579,2,843793,518,572,Bofan Zhang (张博藩),CN,XianCherryBlossom2024,333,1,a,2021ZHAN01,"[521, 518, 625, 571, 799]",1,4,,,Xi'an Cherry Blossom 2024,2024-04-05,5.18,5.72
5861768,2,843794,530,606,Bofan Zhang (张博藩),CN,XianCherryBlossom2024,333,2,a,2021ZHAN01,"[676, 578, 656, 530, 585]",3,0,,,Xi'an Cherry Blossom 2024,2024-04-05,5.3,6.06
5861848,3,843795,537,601,Bofan Zhang (张博藩),CN,XianCherryBlossom2024,333,f,a,2021ZHAN01,"[634, 573, 596, 537, 662]",3,4,,,Xi'an Cherry Blossom 2024,2024-04-05,5.37,6.01
